gvkey,conm,tic,cusip,cik,sic,fyear,datadate,at,restatement
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2018,20180930,19178.3000,0
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2019,20190930,18942.8000,0
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2020,20200930,25168.5000,0
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2021,20210930,26859.2000,0
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2022,20220930,27192.6000,0
001209,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,2023,20230930,32002.5000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2010,20101231,37834.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2011,20111231,39808.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2012,20121231,41853.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2013,20131231,45435.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2014,20141231,45451.0000,1
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2015,20151231,49316.0000,1
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2016,20161231,54146.0000,1
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2017,20171231,59387.0000,1
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2018,20181231,57773.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2019,20191231,58679.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2020,20201231,64586.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2021,20211231,64470.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2022,20221231,62275.0000,0
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,2023,20231231,61525.0000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2010,20100930,1564.0520,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2011,20110930,1890.3890,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2012,20120930,2136.6460,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2013,20130930,2333.1000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2014,20140930,2973.8000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2015,20150930,3719.4000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2016,20160930,3855.4000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2017,20170930,4573.6000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2018,20180930,4828.9000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2019,20190930,4839.6000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2020,20200930,5106.7000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2021,20210930,8590.7000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2022,20220930,8873.8000,0
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,2023,20230930,8426.7000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2010,20101231,35396.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2011,20111231,39136.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2012,20121231,43441.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2013,20131231,42754.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2014,20141231,38578.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2015,20151231,34195.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2016,20161231,28621.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2017,20171231,23112.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2018,20181231,21433.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2019,20191231,21782.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2020,20201231,18821.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2021,20211231,20515.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2022,20221231,21695.0000,0
001380,HESS CORP,HES,42809H107,0000004447,1311,2023,20231231,24007.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2010,20101231,50455.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2011,20111231,52223.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2012,20121231,54367.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2013,20131231,56414.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2014,20141231,59633.0000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2015,20151231,61683.1000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2016,20161231,63467.7000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2017,20171231,64729.1000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2018,20181231,68802.8000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2019,20191231,75892.3000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2020,20201231,80757.2000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2021,20211231,87668.7000,0
